City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fort st. john,56.2499,-120.8529,5.94,39,40,2.06,CA,1729895785
83,pisco,-13.7,-76.2167,20.03,73,0,6.69,PE,1729895657
84,prainha,-1.8,-53.48,32.13,44,78,2.46,BR,1729895787
85,yamada,39.4667,141.95,14.01,71,99,0.85,JP,1729895788
86,posto fiscal rolim de moura,-13.0833,-62.2667,24.19,96,88,1.38,BR,1729895789
87,constantia,44.1833,28.65,6.38,53,1,1.84,RO,1729895790
88,udachny,66.4167,112.4,-16.24,96,100,1.74,RU,1729895791
89,galliano,29.4422,-90.2992,26.0,57,0,0.0,US,1729895793
90,chernyshevskiy,63.0128,112.4714,-11.97,99,100,0.99,RU,1729895794
91,kingston,17.997,-76.7936,28.53,89,75,4.12,JM,1729895496
92,ust-nera,64.5667,143.2,-14.26,97,100,2.87,RU,1729895536
93,badger,64.8,-147.5333,-6.22,86,40,0.0,US,1729895785
94,utrik,11.2278,169.8474,26.45,84,100,3.44,MH,1729895798
95,colonia,50.9333,6.95,14.58,88,0,1.54,DE,1729895799
96,qaqortoq,60.7167,-46.0333,-3.63,75,1,3.13,GL,1729895801
97,chibougamau,49.9168,-74.3659,3.79,93,100,7.2,CA,1729895802
98,aasiaat,68.7098,-52.8699,-2.95,91,97,4.89,GL,1729895803
99,salinopolis,-0.6136,-47.3561,27.45,76,5,5.69,BR,1729895804
100,ribeira grande,38.5167,-28.7,18.21,70,16,1.79,PT,1729895805
101,keren,15.7778,38.4581,22.99,61,56,1.05,ER,1729895806
102,chui,-33.6971,-53.4616,12.72,92,96,4.94,UY,1729895807
103,luganville,-15.5333,167.1667,28.65,71,95,3.99,VU,1729895809
104,lihue,21.9789,-159.3672,28.03,69,0,3.6,US,1729895810
105,magadan,59.5667,150.8,-5.17,90,96,3.91,RU,1729895811
106,ambon,-3.6954,128.1814,30.58,100,18,2.48,ID,1729895812
107,kodinsk,58.6881,99.1844,1.76,99,100,1.43,RU,1729895535
108,albertina,-22.2008,-46.6158,20.83,91,100,1.26,BR,1729895814
109,yarovoye,52.9273,78.58,6.19,72,100,2.85,RU,1729895815
110,callao,-12.0667,-77.15,19.16,72,75,3.6,PE,1729895816
111,talnakh,69.4865,88.3972,-18.48,88,3,1.34,RU,1729895818
112,whitehorse,60.7161,-135.0538,-2.57,86,75,1.03,CA,1729895579
113,kulhudhuffushi,6.6221,73.07,27.54,80,73,6.09,MV,1729895820
114,zuwarah,32.9312,12.082,23.14,54,100,9.7,LY,1729895821
115,susuman,62.7833,148.1667,-15.88,95,100,1.5,RU,1729895822
116,georgetown,5.4112,100.3354,24.97,88,20,1.54,MY,1729895813
117,susanville,40.4163,-120.653,19.32,18,70,3.17,US,1729895824
118,cabo san lucas,22.8909,-109.9124,31.17,54,0,4.12,MX,1729895610
